题目(title),网址(url),播放量(play_count),弹幕(danmu),上传时间(upload_date),作者UP主(author),UP主个人界面(author_url)
“一键三连”！王冰冰喊你来关注央视新闻～,//www.bilibili.com/video/BV1YA411H7LM?from=search,689.0万,1.1万,2021-01-19,央视新闻,//space.bilibili.com/456664753?from=search
【朱广权新Rap】央 视 新 闻 来 B 站 了！,//www.bilibili.com/video/BV1JJ411v7A2?from=search,415.5万,2.5万,2019-12-08,央视新闻,//space.bilibili.com/456664753?from=search
央视新闻直播失误搞笑集锦（1-6季）,//www.bilibili.com/video/BV1mD4y1o799?from=search,39.2万,1562,2020-09-27,心中有一首诗,//space.bilibili.com/5213342?from=search
鹿晗《勋章》太出圈了吧！被用作央视新闻报道中国奥运选手夺金bgm，超厉害，超励志,//www.bilibili.com/video/BV1cJ411w71v?from=search,49.0万,1282,2019-09-16,夜的尽头有鹿晗,//space.bilibili.com/189058999?from=search
1998年央视新闻调查中场片段,//www.bilibili.com/video/BV1Ho4y1X79Y?from=search,964,0,2021-07-09,fm948,//space.bilibili.com/1785495551?from=search
【央视】新闻频道CCTV-13《走进乡村看小康》,//www.bilibili.com/video/BV1ow411R7ao?from=search,515,0,2021-07-10,八神逸枫,//space.bilibili.com/10289419?from=search
[央视新闻]央视记者抱95岁老兵狂奔，这段视频看哭了,//www.bilibili.com/video/BV1jt411g7AQ?from=search,200.6万,1.2万,2019-08-04,joan029,//space.bilibili.com/7863128?from=search
央视新闻张韬嘴瓢失误合集，今天也是贷款上班的一天呢,//www.bilibili.com/video/BV14f4y1x741?from=search,9.4万,310,2021-03-26,狗友唠嗑,//space.bilibili.com/389640553?from=search
【央视】新闻频道CCTV-13《这五年》,//www.bilibili.com/video/BV1vp4y1t7Ck?from=search,1.2万,141,2021-04-08,八神逸枫,//space.bilibili.com/10289419?from=search
央视新闻:强烈谴责歧视同性恋群体！,//www.bilibili.com/video/BV1vo4y1C71G?from=search,6.0万,102,2021-06-29,中国姬崽联盟,//space.bilibili.com/478128432?from=search
王冰冰的可爱瞬间，或许这是我为什么喜欢看央视新闻的原因吧,//www.bilibili.com/video/BV1W54y1r7uu?from=search,40.3万,420,2020-11-05,candy尼莫,//space.bilibili.com/62059914?from=search
【央视新闻】快问快答访央视主播康辉：央视念错一个字罚多少钱？,//www.bilibili.com/video/BV1fs411b7SD?from=search,197.9万,3169,2017-01-27,无名不问出处,//space.bilibili.com/13622586?from=search
【突发新闻】央视新闻播发《袁隆平院士逝世》（《新闻直播间》2021年5月22日13:52时段）,//www.bilibili.com/video/BV1Wq4y1E7y1?from=search,80.7万,2280,2021-05-22,地铁达人守望者,//space.bilibili.com/36566970?from=search
【王冰冰】王冰冰央视新闻含冰量统计排名冰冰皮肤合集,//www.bilibili.com/video/BV1qU4y1475b?from=search,5.3万,92,2021-01-25,sakizbs,//space.bilibili.com/382835968?from=search
【王冰冰】第一次参加央视《新闻直播间》报道／20170419,//www.bilibili.com/video/BV1mD4y1Q7pj?from=search,52.3万,766,2020-11-19,杂草小喵,//space.bilibili.com/55596055?from=search
1.27央视新闻就武汉市红十字会辟谣,//www.bilibili.com/video/BV1f7411s7B9?from=search,4.7万,280,2020-02-01,适量追梦的西兰花,//space.bilibili.com/266005216?from=search
【放送事故】央视《新闻直播间》片尾失误，直接切到广告的第一秒画面,//www.bilibili.com/video/BV14K4y1S7mv?from=search,2.5万,4,2021-02-19,账号注销3332361,//space.bilibili.com/262297067?from=search
【放送文化】邹韵首次主持总台央视新闻频道《环球视线》节目,//www.bilibili.com/video/BV1ry4y1174y?from=search,2.4万,2,2021-02-02,虹观PRISM,//space.bilibili.com/382587848?from=search
乌兰图雅 唱支山歌给党听 央视新闻联播20210624 央视频,//www.bilibili.com/video/BV1DX4y1A7Ke?from=search,8.7万,116,2021-06-24,ZLIFE_,//space.bilibili.com/1618627924?from=search
【朱一龙】优秀！居老师上央视新闻了！,//www.bilibili.com/video/BV134411i7CN?from=search,15.7万,158,2019-05-04,贰亿少女的梦,//space.bilibili.com/279266141?from=search
【完整版】央视新闻频道 中国空间站神舟十二号发射特别报道 任务航天员见面会20210616,//www.bilibili.com/video/BV1Jy4y1g7Qg?from=search,3811,6,2021-06-16,陈哥电视,//space.bilibili.com/278567155?from=search
【放送文化】邹韵首次主持总台央视新闻频道《环球视线》节目,//www.bilibili.com/video/BV1ry4y1174y?from=search,2.4万,2,2021-02-02,虹观PRISM,//space.bilibili.com/382587848?from=search
【笑死人不偿命】央视新闻直播失误集锦（一二三季综合版）,//www.bilibili.com/video/BV11J411F7Fr?from=search,6.3万,708,2019-10-07,XP君字幕组,//space.bilibili.com/456064181?from=search
【朱一龙】优秀！居老师上央视新闻了！,//www.bilibili.com/video/BV134411i7CN?from=search,15.7万,158,2019-05-04,贰亿少女的梦,//space.bilibili.com/279266141?from=search
央视新闻联播片尾曲原来这么好听的,//www.bilibili.com/video/BV1Nq4y1j73G?from=search,6339,2,2021-05-29,梓楷,//space.bilibili.com/3141353?from=search
【帅哥】CCTV央视的新闻男主持人都这么帅的么？,//www.bilibili.com/video/BV1w7411Z7zv?from=search,4.6万,259,2020-03-17,霍蓝Horan,//space.bilibili.com/190706425?from=search
武广高速铁路正式运营 央视新闻联播（高清）,//www.bilibili.com/video/BV1TM4y1u7dF?from=search,6257,3,2021-06-15,fm948,//space.bilibili.com/1785495551?from=search
央视新闻失误合集《新闻笑6分》（第六期）,//www.bilibili.com/video/BV1wf4y1b793?from=search,2.3万,190,2021-06-21,Car1234567,//space.bilibili.com/191118747?from=search
1999.5.8央视新闻失误,//www.bilibili.com/video/BV1Jg411u7yi?from=search,1.9万,5,2021-07-02,fm948,//space.bilibili.com/1785495551?from=search
【央视】时隔81天，郭志坚回归《新闻联播》主播台(2021.7.7),//www.bilibili.com/video/BV1T44y1B7JR?from=search,5625,1,2021-07-07,CG放送,//space.bilibili.com/411619253?from=search
【罕见】央视新闻频道播出《新闻20分》,//www.bilibili.com/video/BV1EK411T7CS?from=search,6.0万,27,2020-08-08,CG放送,//space.bilibili.com/411619253?from=search
【1080P/60FPS】在Minecraft中还原央视《新闻联播》片头！,//www.bilibili.com/video/BV1zc411h7QP?from=search,34.7万,923,2020-04-05,HabQi,//space.bilibili.com/102607745?from=search
央视《新闻联播》历年片尾（1997-今，有演播室介绍）,//www.bilibili.com/video/BV1Zb411q7Jp?from=search,5.4万,206,2019-03-02,铑白熊,//space.bilibili.com/348030217?from=search
【王一博】央视新闻#王一博说蒋先云是自己的榜样#,//www.bilibili.com/video/BV1iq4y1L7oB?from=search,1775,9,2021-06-18,黄兰豫,//space.bilibili.com/517248846?from=search
